"DIPLOMAJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","SOORT_DIPLOMA","GESLACHT","AANTAL_GEDIPLOMEERDEN"
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","MAN",17
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","VROUW",183
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo master","MAN",5
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo master","VROUW",10
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","MAN",38
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VROUW",92
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","hbo bachelor","MAN",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","hbo bachelor","VROUW",28
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","hbo bachelor","MAN",106
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","hbo bachelor","VROUW",184
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","hbo master","MAN",8
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","hbo master","VROUW",18
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","SECTOROVERSTIJGEND","sectoroverstijgend","hbo master","MAN",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","SECTOROVERSTIJGEND","sectoroverstijgend","hbo master","VROUW",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo associate degree","MAN",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo bachelor","MAN",284
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VROUW",82
