"DIPLOMAJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","OPLEIDINGSCODE_ACTUEEL","OPLEIDINGSNAAM_ACTUEEL","SOORT_DIPLOMA","AANTAL_GEDIPLOMEERDEN"
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34284","B Milieukunde","hbo bachelor",34
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34333","B Diermanagement","hbo bachelor",91
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34856","B Voedingsmiddelentechnologie","hbo bachelor",49
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34859","B Management van de Leefomgeving","hbo bachelor",18
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34866","B Bedrijfskunde en Agribusiness","hbo bachelor",24
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34868","B Tuinbouw en Akkerbouw","hbo bachelor",17
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34869","B Dier- en Veehouderij","hbo bachelor",39
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","39204","B Kust en Zee Management","hbo bachelor",36
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","49290","M Innovative Dairy Chain Management","hbo master",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","80044","Ad Melkveehouderij","hbo associate degree",14
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","80141","Ad Voedingsmiddelentechnologie","hbo associate degree",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","TECHNIEK","n.v.t. (techniek)","34331","B Biotechnologie","hbo bachelor",38
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","30029","B International Business","hbo bachelor",93
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34035","B Bedrijfskunde","hbo bachelor",61
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34402","B Commerciele Economie","hbo bachelor",42
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34405","B Communicatie","hbo bachelor",51
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34406","B Accountancy","hbo bachelor",42
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34411","B Hotel Management","hbo bachelor",481
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34419","B European Studies","hbo bachelor",26
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34464","B Bestuurskunde/Overheidsmanagement","hbo bachelor",24
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34609","B Human Resource Management","hbo bachelor",63
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35516","B Creative Business","hbo bachelor",177
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35517","B Finance, Tax and Advice","hbo bachelor",11
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35520","B Finance & Control","hbo bachelor",36
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35521","B Leisure & Events Management","hbo bachelor",100
